Identifier ,Term,Also known as,See Also,Definition ,Notes/Additional Info,External Identifier,External Version Number ,License ,Source,Link 
fairsem:100,EOSC-hub service catalogue,,,"The EOSC-hub service catalogue comprises services provided by the EGI Federation & EUDAT, services developed during the INDIGO-DataCloud project and Thematic Services provided by research communities.",,,,,EOSC hub,https://www.eosc-hub.eu/catalogue
fairsem:101,EOSC hub Supplier,,,"In the case of EOSC-hub service delivery, within Supplier Relationship Management (SUPPM), a ‘supplier’ refers to either the service provider of the service, or the provider of the software or supporting component needed by the service provider to provide the service to their customer or users.",,,,,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:102,Escalation,,,"Change of responsibility for a case (such as an incident, service request, problem or change) or activity to another individual or group.",Note: There are two basic types of escalation: Hierarchical escalation transfers responsibility (temporarily) to someone with a higher level of authority. Functional escalation transfers responsibility to someone with a different set of competencies or privileges required to handle the case or activity.,,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:103,Federation,,,"Situation in which multiple parties, the federation members, jointly contribute to the delivery of services to customers without being organised in a strict hierarchical setup or supply chain.",,,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:104,Federation member,,,"Individual, organisation or body that works together with other federation members in a federation to provide one or more services","Note: Often, federation members will not be bound together by strict contractual agreements.",,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:105,Federator,,,Body that acts to coordinate a set of federation members,,,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:106,Improvement,,,"Action or set of actions carried out to increase the level of conformity, effectiveness or efficiency of a management system, process or activity, or to increase the quality or performance of a service or service component","Note: An improvement is usually implemented after an opportunity for improvement has been identified, for instance during a service review, audit or management review.",,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:107,Incident,,,"Unplanned disruption of operation in a service or service component, or degradation of service quality versus the expected or agreed service level or operational level according to service level agreements (SLAs), operational level agreements (OLAs)",,,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:108,Information security,,,"Preservation of confidentiality, integrity and accessibility of information",,,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:109,Information security control,,,Means of controlling or treating one or more risks to information security,,,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:11,Terminology,,,Set of designations belonging to one special language.,,ISO 1087-1:2000,,,Termcoord,https://termcoord.eu/glossary-of-terminology-management/
fairsem:110,Information security event,,,Occurrence or previously unknown situation indicating a possible breach of information security,"Note: An occurrence or situation is considered a potential breach of information security if it may lead to a negative impact on the confidentiality, integrity and / or accessibility of one or more information assets.",,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:111,Information security incident,,,"Single information security event or a series of information security events with a significant probability of having a negative impact on the delivery of services to customers, and therefore on the customers’ business operations",,,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:112,Infrastructure and value-added services,,,Generic capabilities that users/customers or thematic services can use to perform/ease compute and data intensive steps. Example services within this group: IaaS clouds; HTC clusters; Container execution sites; Orchestrators; Schedulers; File transfer; Data replication,,,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:113,Integrity of information,,,"Property of information not being subject to unauthorized modification, duplication or deletion",,,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:114,IT service,,,Service that is enabled by the use of information technology (IT),,,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:115,IT service management (ITSM),,,"Entirety of activities performed by an IT service provider to plan, deliver, operate and control IT services offered to customers",Note: The activities carried out in the ITSM context should be directed by policies and structured and organised by processes and supporting procedures.,,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:116,Key performance indicator (KPI),,,"Metric that is used to track the performance, effectiveness or efficiency of a service or process","Note: KPIs are generally important metrics that will be aligned to critical success factors and important goals. KPIs are therefore a subset of all possible metrics, intended to allow for monitoring a service or process.",,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:117,Known error,,,"Problem which has not (yet) been corrected, but for which there is a documented workaround or temporary fix to prevent (excessive) negative impact on services",,,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:118,Management review,,,"Periodic evaluation of the suitability, maturity and efficiency of the entire management system by its accountable owner(s), from which opportunities for improvement are identified and follow-up actions are determined","Note: The accountable owner of a management system is usually a top management representative of the organisation operating the management system. In a federation, the accountable owner is usually one person nominated by top management representatives of all organisations (i.e. federation members) involved.",,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:119,Management system,,,"Entirety of policies, processes, procedures and related resources and capabilities aiming at effectively performing management tasks in a given context and for a given subject","Note 1: A management system is generally intangible. It is based on the idea of a systematic, structured and process-oriented way of managing; Note 2: While documentation (such as process definitions, procedures and records) and tools (such as workflow support and monitoring tools) can be parts of a management system, management system considerations are not limited to the questions of documentation and tool support; Note 3: With respect to (IT) service management and the FitSM standard series, the idea of a service management system (SMS) service management and the FitSM standard series, the idea of a service management system (SMS) is a central concept, where the context of the management system is the organisational context of the service provider, and the subject is to plan, deliver, operate and control (IT)",,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:12,Terminological Dictionary,,,Synonym: technical dictionary. Collection of terminological entries presenting information related to concepts or designations from one or more specific subject fields. ,,ISO 1087-1:2000,,,Termcoord,https://termcoord.eu/glossary-of-terminology-management/
fairsem:120,Maturity level,,,"Achieved overall effectiveness of a service management system, based on the combination of the capability levels of its processes and general aspects of management",,,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:121,Nonconformity,,,Case or situation where a requirement is not fulfilled,Note: This may also be referred to as noncompliance.,,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:122,Operational level agreement (OLA),,,Documented agreement between a service provider and another part of the service provider’s organisation or a federation member to provide a service component or subsidiary service needed to allow provision of services to customers,,,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:123,Operational target,,,"Reference / target value for a parameter used to measure the performance of a service component, listed in an operational level agreement (OLA) or underpinning agreement (UA)",Note: Typical operational targets might include availability or allowed resolution times for incidents.,,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:124,Policy,,,"Documented set of intentions, expectations, goals, rules and requirements, often formally expressed by top management representatives in an organisation or federation","Note: Policies are then realised in processes, which are in turn made up of activities that people carry out according to defined procedures.",,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:125,Post implementation review (PIR),,,Review after the implementation of a change that determines if the change was successful,"Note: Depending on the specific type and complexity of the change, the post implementation review may vary widely in its depth.",,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:126,Priority,,,"Relative importance of a target, object or activity","Note: Often incidents, service requests, problems and changes are given a priority. In the case of incidents and problems, priority is usually based on the specific impact and urgency of the situation.",,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:127,Problem,,,Underlying cause of one or more incidents that requires further investigation to prevent incidents from recurring or reduce the negative impact on services,,,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:128,Procedure,,,Specified set of steps or instructions to be carried out by an individual or group to perform one or more activities of a process,,,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:129,Process,,,"Structured set of activities, with clearly defined responsibilities, that bring about a specific objective or set of results from a set of defined inputs","Note: Generally, a process consists of a number of activities used to manage services, if the process is part of a service management system (SMS",,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:13,Ontology,,,"A reference tool containing an explicit formal specification of how to represent the objects, concepts and other entities that are assumed to exist in some area of interest and the relationships that hold among them. The subject of ontology is the study of the categories of things that exist or may exist in some domain. The product of such a study, called ontology, is a catalog of the types of things that are assumed to exist in a domain of interest D from the perspective of a person who uses a language L for the purpose of talking about D. The types in the ontology represent the predicates, word senses, or concept and relation types of the language L when used to discuss topics in the domain D. ","Source: John Sowa cofounder of VivoMind Intelligence, Inc.",,,,Termcoord,https://termcoord.eu/glossary-of-terminology-management/
fairsem:130,Record,,,Documentation of an event or of the results of performing a process or activity,,,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:131,Release,,,Set of one or more changes to configuration items (Cis) that are grouped together and deployed as a logical unit,,,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:132,Request for change (RFC),,,Documented proposal for a change to be made to one or more configuration items (CIs,,,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:133,Risk,,,"Possible negative occurrence that would have a negative impact on the service provider’s ability to deliver agreed services to customers, or that would decrease the value generated through some service","Note: Risk is made up of the probability of the threat entailed, the vulnerability to that threat of some asset, and the impact the threat would have, if it occurred.",,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:134,Role,,,Set of responsibilities and connected behaviours or actions collected into a logical unit that can be assigned to an individual or group,Note: An individual may take over multiple roles.,,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:135,Service,,,Way to provide value to customers through bringing about results that they want to achieve,"Note: In the context of the FitSM standard series, when referring to services, usually IT services are meant.",,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:136,Service acceptance criteria (SAC),,,Criteria that must be fulfilled by the time a new or changed service is deployed and made available to customers / users,"Note: SAC are defined when a new or changed service is designed, and they may be updated or refined during the development or transition phase. They may cover functional and non-functional aspects of the specific service to be deployed. SAC are part of the service design and transition package (SDTP",,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:137,Service catalogue,,,Customer-facing list of all live services offered along with relevant information about these services,Note: The service catalogue can be regarded as a filtered version of and customers’ view on the service portfolio.,,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:138,Service component,,,Logical part of a service that provides a function enabling or enhancing a service,"Note 1: A service is usually composed of several service components; Note 2: A service component is usually built from one or more configuration items (CIs); Note 3: Although a service component underlies one or more services, it usually does not create value for a customer alone and is therefore not a service by itself.",,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:139,Service design and transition package (SDTP),,,Entirety of plans for the design and transition of a specific new or changed service,"Note: An SDTP should be produced for every new or changed service. It may consist of a number of documented plans and other relevant information, available in different formats, including a list of requirements and service acceptance criteria (SAC), a project plan, communication and training plans, technical plans and specifications, resource plans, development and deployment schedules / timetables, etc.",,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:14,Category,,,"A broad facet, primary division of a special classification system or of a main class of a general one.",,ISO 5217,,,Termcoord,https://termcoord.eu/glossary-of-terminology-management/
fairsem:140,Service level agreement (SLA),,,Documented agreement between a customer and service provider that specifies the service to be provided and the service targets that define how it will be provided,,,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:141,Service management,,,"Entirety of activities performed by a service provider to plan, deliver, operate and control services offered to customers","Note 1: The activities carried out in the service management context should be directed by policies and structured and organised by processes and supporting procedures; Note 2: In the context of the FitSM standard series, when referring to service management, usually IT service management is meant.",,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:142,Service management plan,,,Overall plan for implementing and operating a service management system (SMS,,,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:143,Service management system (SMS),,,Overall management system that controls and supports management of services within an organisation or federation,"Note: The SMS can be regarded as the entirety of interconnected policies, processes, procedures, roles, agreements, plans, related resources and other elements needed and used by a service provider to effectively manage the delivery of services to customers.",,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:144,Service portfolio,,,"Internal list that details all the services offered by a service provider, including those in preparation, live and discontinued","Note: For each service, the service portfolio may include information such as its value proposition, target customer base, service description, relevant technical specifications, cost and price, risks to the service provider, service level packages offered, etc.",,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:145,Service provider,,,Organisation or federation (or part of an organisation or federation that manages and delivers a service or services to customers,,,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:146,Service report,,,Report that details the performance of a service versus the service targets defined in service level agreements (SLAs) – often based on key performance indicators (KPIs),,,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:147,Service request,,,"User request for information, advice, access to a service or a pre-approved change",Note: Service requests are often handled by the same process and tools as incidents.,,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:148,Service review,,,"Periodic evaluation of the quality and performance of a service together with the customer or under consideration of customer feedback, from which opportunities for improvement are identified, follow-up actions to increase the value of the service are determined",,,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:149,Service target,,,"Reference / target values for a parameter used to measure the performance of a service, listed in a service level agreement (SLA) related to this service",Note: Typical service targets might include availability or resolution time for incidents.,,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:15,Preferred Term,,,Term rated according to the scale of the term acceptability rating as the primary term for a given concept. ,,ISO 1087-1:2000,,,Termcoord,https://termcoord.eu/glossary-of-terminology-management/
fairsem:150,Supplier,,,External organisation that provides a (supporting) service or service component(s),,,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:151,Thematic services,,,"Scientific services (incl. data) that provide discipline-specific capabilities for researchers. (e.g. browsing and download data and apps, workflow development, execution, online analytics, result visualisation, sharing of result data, publications, applications",,,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:152,Top management,,,Senior management within an organisation who has authority to set policies and exercise overall control of the organisation,,,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:153,Underpinning agreement (UA),,,Documented agreement between a service provider and an external supplier that specifies the underpinning service(s) or service component(s),Note 1: A UA can be seen as a service level agreement (SLA) with an external supplier where the service provider is in the customer role; Note 2: A UA may also be referred to as an underpinning contract (UC),,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:154,Underpinning contract (UC),,Underpinning agreement (UA),See: Underpinning agreement (UA),,,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:155,User,,,Individual that primarily benefits from and uses a service,,,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:156,Value,,,Benefit to a customer and their users delivered by a service,"Note: Value should be considered as a composition of the utility (fitness for purpose) and warranty (fitness for use, covering sufficient availability / continuity, capacity / performance and information security connected to a service.",,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:157,Workaround,,,"Means of circumventing or mitigating the symptoms of a known error that helps to resolve incidents caused by this known error, while the underlying root cause is not permanently eliminated","Note 1: Workarounds are often applied in a situation, when the actual root cause of (recurring) incidents cannot be resolved due to lack of resources or ability; Note 2: A workaround may consist of a set of actions to be carried out by either the provider or the user of the service; Note 3: A workaround is also referred to as a temporary fix or temporary solution.",,V2.4,CC-BY 4.0,EOSC hub,https://confluence.egi.eu/display/EOSC/EOSC+hub+Glossary
fairsem:158,Artificial Intelligence,,,"Artificial intelligence (AI) is intelligence exhibited by machines. AI is applied when a machine mimics ""cognitive"" functions that humans associate with other human minds, such as ""learning"" and ""problem solving"". The central problems and goals of AI research include reasoning, knowledge, planning, learning, natural language processing (communication), perception and the ability to move and manipulate objects. Approaches include statistical methods, computational intelligence, and traditional symbolic AI.",Source: Wikipedia.org,,,,PoolParty,https://www.poolparty.biz/glossary/artificial-intelligence?uri=http://vocabulary.semantic-web.com/ppknowledgegraph/442
fairsem:159,Big Data,,,Big data is a term for data sets that are so large or complex that traditional data processing application software is inadequate to deal with them. ,Source: Wikipedia.org,,,,PoolParty,https://www.poolparty.biz/glossary/big-data?uri=http://vocabulary.semantic-web.com/ppknowledgegraph/214
fairsem:16,Preferred Term (2),,,Index term of a thesaurus used in preference to an alternative and equivalent entry term to which it is related. ,,ISO 5127:2001,,,Termcoord,https://termcoord.eu/glossary-of-terminology-management/
fairsem:160,Content Lifecycle,,,"The (web) content lifecycle is the multi-disciplinary and often complex process that content undergoes as it is managed through various publishing stages. Authors describe multiple 'stages' in the content lifecycle, along with a set of capabilities - such as records management, digital asset management, collaboration, and version control - that may be supported by various technologies and processes. The stages include content creation/development, revision, distribution, and archiving. The lifecycle processes, actions, content status, and content management roles may differ from model to model based on organizational strategies, needs, requirements, and capabilities. ",Source: Wikipedia.org,,,,PoolParty,https://www.poolparty.biz/glossary/content-lifecycle?uri=http://vocabulary.semantic-web.com/ppknowledgegraph/951
fairsem:161,Controlled Vocabulary,,,"A controlled vocabulary is a carefully selected list of words and phrases, which are used to tag units of information (document or work) so that they may be more easily retrieved by a search. A controlled vocabulary ensures that the same terms are used for content annotation by different users in a collaborative environment.",Source: Wikipedia.org,,,,PoolParty,https://www.poolparty.biz/glossary/controlled-vocabulary?uri=http://vocabulary.semantic-web.com/ppknowledgegraph/209
fairsem:162,Customer Experience,,,"Customer experience (CX) is the product of an interaction between an organization and a customer over the duration of their relationship. This interaction is made up of three parts: the customer journey, the brand touchpoints the customer interacts with, and the environments the customer experiences (including digital environment) during their experience. ",Source: Wikipedia.org,,,,PoolParty,https://www.poolparty.biz/glossary/customer-experience?uri=http://vocabulary.semantic-web.com/ppknowledgegraph/958
fairsem:163,FontoXML Integration,,,"FontoXML is all about user-friendly authoring of valid XML. The web-based XML editor adapts to your schema (e.g. DITA and TEI), your CMS infrastructure and the frontend that your authors are used to working in. ",Source: Wikipedia.org,,,,PoolParty,https://www.poolparty.biz/glossary/fontoxml-integration?uri=http://vocabulary.semantic-web.com/ppknowledgegraph/415
fairsem:164,Graph Databases,,,"A graph database uses graph structures for semantic queries with nodes, edges and properties to represent and store data. A key concept of the system is the graph (or edge or relationship), which directly relates data items in the store. The relationships allow data in the store to be linked together directly, and in many cases retrieved with one operation.This contrasts with conventional relational databases, where links between data are stored in the data, and queries search for this data within the store and use the join concept to collect the related data. Graph databases, by design, allow simple and fast retrieval of complex hierarchical structures that are difficult to model in relational systems.Retrieving data from a graph database requires a query language other than SQL, which was designed for relational databases and does not elegantly handle traversing a graph.",,,,,PoolParty,https://www.poolparty.biz/glossary/graph-databases?uri=http://vocabulary.semantic-web.com/ppknowledgegraph/81
fairsem:165,Knowledge Graph,,,"A knowledge graph is a fabric of concepts, classes, properties, relationships and entities. It uses knowledge representation formalisms as RDF, RDF-Schema and OWL. Knowledge graphs typically cover multiple domains, various levels of granularity, data from multiple sources, various degrees of structure. It functions as background knowledge for various applications (e.g. question answering, data integration and machine learning). ",Source: Sören Auer,,,,PoolParty,https://www.poolparty.biz/glossary/knowledge-graph?uri=http://vocabulary.semantic-web.com/ppknowledgegraph/292
fairsem:166,Knowledge Management,,,"Knowledge management (KM) is the process of creating, sharing, using and managing the knowledge and information of an organisation. Knowledge management software (KM software) is a subset of Enterprise content management software, which contains a range of software that specializes in the way information is collected, stored and/or accessed.  ",Source: Wikipedia.org,,,,PoolParty,https://www.poolparty.biz/glossary/knowledge-management?uri=http://vocabulary.semantic-web.com/ppknowledgegraph/73
fairsem:167,Linked Data,,,"In computing, Linked Data is a method of publishing structured data so that it can be interlinked and become more useful through semantic queries. It builds upon standard Web technologies such as HTTP, RDF and URIs, but rather than using them to serve web pages for human readers, it extends them to share information in a way that can be read automatically by computers. This enables data from different sources to be connected and queried. ",Source: Wikipedia.org,,,,PoolParty,https://www.poolparty.biz/glossary/linked-data?uri=http://vocabulary.semantic-web.com/ppknowledgegraph/285
fairsem:168,Machine Learning,,,"Machine learning is the subfield of computer science that gives ""computers the ability to learn without being explicitly programmed. Evolved from the study of pattern recognition and computational learning theory in artificial intelligence, machine learning explores the study and construction of algorithms that can learn from and make predictions on data – such algorithms overcome following strictly static program instructions by making data-driven predictions or decisions, through building a model from sample inputs. ",,,,,PoolParty,https://www.poolparty.biz/glossary/machine-learning?uri=http://vocabulary.semantic-web.com/ppknowledgegraph/75
fairsem:169,Master Data Management,,,"Master data management (MDM) comprises the processes, governance, policies, standards and tools that consistently define and manage the critical data of an organization to provide a single point of reference. Master data management solutions help to remove duplicates, standardize data and incorporate rules to eliminate incorrect data from entering the system in order to create an authoritative source of master data.  ",,,,,PoolParty,https://www.poolparty.biz/glossary/master-data-management?uri=http://vocabulary.semantic-web.com/ppknowledgegraph/768
fairsem:17,Data,,,"A reinterpretable representation of information in a formalized manner suitable for communication, interpretation, or processing.",,ISO/IEC 2382-1:1993,,,Termcoord,https://termcoord.eu/glossary-of-terminology-management/
fairsem:170,Metadata,,,"Metadata is 'data [information] that provides information about other data'. Three distinct types of metadata exist: Descriptive metadata, structural metadata, and administrative metadata. ",Source: Wikipedia.org,,,,PoolParty,https://www.poolparty.biz/glossary/metadata?uri=http://vocabulary.semantic-web.com/ppknowledgegraph/953
fairsem:171,Natural Language Processing,,,"Natural language processing (NLP) is a field of computer science, artificial intelligence, and computational linguistics concerned with the interactions between computers and human (natural) languages and, in particular, concerned with programming computers to fruitfully process large natural language corpora. Challenges in natural language processing frequently involve natural language understanding, natural language generation (frequently from formal, machine-readable logical forms), connecting language and machine perception, managing human-computer dialog systems, or some combination thereof.  ",Source: Wikipedia.org,,,,PoolParty,https://www.poolparty.biz/glossary/natural-language-processing?uri=http://vocabulary.semantic-web.com/ppknowledgegraph/240
fairsem:172,OWL,,,"The Web Ontology Language (OWL) is a family of knowledge representation languages for authoring ontologies. Ontologies are a formal way to describe taxonomies and classification networks, essentially defining the structure of knowledge for various domains. ",Source: Wikipedia.org,,,,PoolParty,https://www.poolparty.biz/glossary/owl?uri=http://vocabulary.semantic-web.com/ppknowledgegraph/546
fairsem:173,RDF,,,"The Resource Description Framework (RDF) is a family of World Wide Web Consortium (W3C) specifications originally designed as a metadata data model. It has come to be used as a general method for conceptual description or modelling of information that is implemented in web resources, using a variety of syntax notations and data serialization formats.  ",Source: Wikipedia.org,,,,PoolParty,https://www.poolparty.biz/glossary/rdf?uri=http://vocabulary.semantic-web.com/ppknowledgegraph/119
fairsem:174,Records Management,,,"Records management, also known as records and information management, is an organizational function devoted to the management of information in an organization throughout its life cycle, from the time of creation or inscription to its eventual disposition. This includes identifying, classifying, storing, securing, retrieving, tracking and destroying or permanently preserving records. ",,,,,PoolParty,https://www.poolparty.biz/glossary/records-management?uri=http://vocabulary.semantic-web.com/ppknowledgegraph/801
fairsem:175,Semantic Data Lake,,,The Semantic Data Lake is a technical solution approach for handling Big Data in an efficient way. Heterogenous data is collected. On top of that data repository a semantic layer makes the data volume and variety searchable and better processable for concrete data reuse. ,,,,,PoolParty,https://www.poolparty.biz/glossary/semantic-data-lake?uri=http://vocabulary.semantic-web.com/ppknowledgegraph/1151
fairsem:176,Semantic middleware,,,"A semantic middleware is embedded in enterprise information systems to tag, extract, index and reuse heterogeneous data sources.",,,,,PoolParty,https://www.poolparty.biz/glossary/semantic-middleware?uri=http://vocabulary.semantic-web.com/ppknowledgegraph/506
fairsem:177,Semantic Search,,,"Semantic search improves search accuracy by understanding the searcher's intent and the contextual meaning of terms as they appear in the searchable dataspace, whether on the Web or within a closed system, to generate more relevant results. Semantic search systems consider various points including context of search, location, intent, variation of words, synonyms, generalized and specialized queries, concept matching and natural language queries to provide relevant search results. ",Source: Wikipedia.org,,,,PoolParty,https://www.poolparty.biz/glossary/semantic-search?uri=http://vocabulary.semantic-web.com/ppknowledgegraph/221
